TGF	LPS	Cholesterol	Fructose	Background	NPC
NAFT18012_P3A3_D14_75_S23	TRUE	TRUE	FALSE	FALSE	lean	high
NAFT18012_P3B1_D14_79_S3	FALSE	FALSE	FALSE	FALSE	lean	low
NAFT18012_P3B5_D14_83_S6	FALSE	FALSE	FALSE	FALSE	fat	low
NAFT18013_P1B3_D14_09_S1	FALSE	TRUE	FALSE	TRUE	lean	high
NAFT18013_P2A1_D14_13_S4	FALSE	FALSE	TRUE	TRUE	lean	high
NAFT18013_P2A5_D14_17_S7	FALSE	FALSE	TRUE	TRUE	fat	high
NAFT18013_P2B3_D14_21_S10	TRUE	FALSE	FALSE	TRUE	lean	high
NAFT18013_P3A1_D14_25_S13	FALSE	FALSE	FALSE	FALSE	lean	low
NAFT18013_P3A5_D14_29_S16	FALSE	FALSE	FALSE	FALSE	fat	low
NAFT18013_P3B3_D14_33_S19	FALSE	TRUE	FALSE	TRUE	lean	low
NAFT18013_P4A1_D14_37_S22	FALSE	FALSE	TRUE	TRUE	lean	low
NAFT18013_P4A5_D14_41_S2	FALSE	FALSE	TRUE	TRUE	fat	low
NAFT18013_P4B3_D14_45_S5	TRUE	FALSE	FALSE	TRUE	lean	low
NAFT18014_P1B3_D14_93_S9	FALSE	TRUE	TRUE	FALSE	lean	high
NAFT18014_P2A1_D14_97_S12	TRUE	FALSE	TRUE	FALSE	lean	high
NAFT18014_P2A5_D14_101_S15	TRUE	FALSE	TRUE	FALSE	fat	high
NAFT18014_P2B3_D14_105_S18	FALSE	FALSE	TRUE	FALSE	lean	high
NAFT18014_P3A1_D14_109_S21	FALSE	FALSE	FALSE	FALSE	lean	low
NAFT18014_P3A5_D14_113_S24	FALSE	FALSE	FALSE	FALSE	fat	low
NAFT18014_P3B2_D14_116_S1	FALSE	TRUE	TRUE	FALSE	lean	low
NAFT18014_P3B5_D14_119_S4	FALSE	TRUE	TRUE	FALSE	fat	low
NAFT18014_P4A2_D14_122_S7	TRUE	FALSE	TRUE	FALSE	lean	low
NAFT18014_P4A5_D14_125_S10	TRUE	FALSE	TRUE	FALSE	fat	low
NAFT18014_P4B2_D14_128_S13	FALSE	FALSE	TRUE	FALSE	lean	low
