name,solution
nU1201,0
nU1202,0
nU1203,0
nU1204,0
nU1205,0
nU1206,0
nU1207,0
nU1208,0
nU1209,0
nU1210,0
nU1211,1
nU1212,1
nU1213,0
nU1214,0
nU1215,0
nU1216,0
nU1217,0
nU1218,0
nU1219,0
nU1220,0
nU1221,0
nU1222,0
nU1223,0
nU1224,0
nU1225,0
nU1226,0
nU1227,0
nU1228,0
nU1229,0
nU1230,0
nU1231,1
nU1232,0
nU1233,0
nU1234,0
nU1235,0
nU1236,0
nU1237,0
nU1238,0
nU1239,0
nU1240,0
nU1241,0
nU1242,0
nU1243,0
nU1244,0
nU1245,0
nU1246,0
nU1247,0
nU1248,0
nU1249,0
nU1250,0
nU1251,0
nU1252,0
nU1253,0
nU1254,0
nU1255,0
nU1256,0
nU1257,0
nU1258,0
nU1259,0
nU1260,0
nU1261,0
nU1262,0
nU1263,0
nU1264,0
nU1265,0
nU1266,0
nU1267,0
nU1268,0
nU1269,0
nU1270,0
nU1271,0
nU1272,0
nU1273,0
nU1274,0
nU1275,0
nU1276,0
nU1277,0
nU1278,0
nU1279,0
nU1280,0
nU1281,0
nU1282,0
nU1283,0
nU1284,0
nU1285,0
nU1286,0
nU1287,0
nU1288,0
nU1289,0
nU1290,0
nU1291,0
nU1292,0
nU1293,0
nU1294,0
nU1295,0
nU1296,0
nU1297,0
nU1298,0
nU1299,0
nU1300,0
nU1301,0
nU1302,0
nU1303,0
nU1304,0
nU1305,0
nU1306,0
nU1307,0
nU1308,0
nU1309,0
nU1310,0
nU1311,0
nU1312,0
nU1313,0
nU1314,0
nU1315,0
nU1316,0
nU1317,0
nU1318,0
nU1319,0
nU1320,0
nU1321,0
nU1322,0
nU1323,0
nU1324,0
nU1325,0
nU1326,0
nU1327,0
nU1328,0
nU1329,0
nU1330,0
nU1331,0
nU1332,0
nU1333,0
nU1334,0
nU1335,0
nU1336,0
nU1337,0
nU1338,0
nU1339,0
nU1340,0
nU1341,0
nU1342,0
nU1343,0
nU1344,0
nU1345,0
nU1346,0
nU1347,0
nU1348,0
nU1349,0
nU1350,0
nU1351,0
nU1352,0
nU1353,0
nU1354,0
nU1355,0
nU1356,0
nU1357,0
nU1358,0
nU1359,0
nU1360,0
nU1361,0
nU1362,0
nU1363,0
nU1364,0
nU1365,0
nU1366,0
nU1367,0
nU1368,0
nU1369,0
nU1370,0
nU1371,0
nU1372,0
nU1373,0
nU1374,0
nU1375,0
nU1376,0
nU1377,0
nU1378,0
nU1379,0
nU1380,0
nU1381,0
nU1382,0
nU1383,0
nU1384,0
nU1385,0
nU1386,0
nU1387,0
nU1388,0
nU1389,0
nU1390,0
nU1391,0
nU1392,0
nU1393,0
nU1394,0
nU1395,0
nU1396,0
nU1397,0
nU1398,0
nU1399,0
nU1400,0
nU1401,0
nU1402,0
nU1403,0
nU1404,0
nU1405,0
nU1406,0
nU1407,0
nU1408,0
nU1409,0
nU1410,0
nU1411,0
nU1412,0
nU1413,0
nU1414,0
nU1415,0
nU1416,0
nU1417,0
nU1418,0
nU1419,0
nU1420,0
nU1421,0
nU1422,0
nU1423,0
nU1424,0
nU1425,0
nU1426,0
nU1427,0
nU1428,0
nU1429,0
nU1430,0
nU1431,0
nU1432,0
nU1433,0
nU1434,0
nU1435,0
nU1436,0
nU1437,0
nU1438,0
nU1439,0
nU1440,0
nU1441,0
nU1442,0
nU1443,0
nU1444,0
nU1445,0
nU1446,0
nU1447,0
nU1448,0
nU1449,0
nU1450,0
nU1451,0
nU1452,0
nU1453,0
nU1454,0
nU1455,0
nU1456,0
nU1457,0
nU1458,0
nU1459,0
nU1460,0
nU1461,0
nU1462,0
nU1463,0
nU1464,0
nU1465,0
nU1466,0
nU1467,0
nU1468,0
nU1469,0
nU1470,0
nU1471,0
nU1472,0
nU1473,0
nU1474,0
nU1475,0
nU1476,1
nU1477,0
nU1478,0
nU1479,0
nU1480,0
nU1481,0
nU1482,0
nU1483,0
nU1484,0
nU1485,0
nU1486,0
nU1487,0
nU1488,0
nU1489,0
nU1490,0
nU1491,0
nU1492,0
nU1493,0
nU1494,0
nU1495,0
nU1496,0
nU1497,0
nU1498,0
nU1499,0
nU1500,0
nU1501,0
nU1502,0
nU1503,0
nU1504,0
nU1505,0
nU1506,0
nU1507,0
nU1508,0
nU1509,0
nU1510,0
nU1511,0
nU1512,0
nU1513,0
nU1514,0
nU1515,0
nU1516,0
nU1517,0
nU1518,0
nU1519,0
nU1520,0
nU1521,0
nU1522,0
nU1523,0
nU1524,0
nU1525,0
nU1526,0
nU1527,0
nU1528,0
nU1529,0
nU1530,0
nU1531,0
nU1532,0
nU1533,0
nU1534,0
nU1535,0
nU1536,0
nU1537,0
nU1538,1
nU1539,0
nU1540,0
nU1541,0
nU1542,0
nU1543,0
nU1544,0
nU1545,0
nU1546,0
nU1547,0
nU1548,0
nU1549,0
nU1550,0
nU1551,0
nU1552,0
nU1553,0
nU1554,0
nU1555,0
nU1556,0
nU1557,0
nU1558,0
nU1559,0
nU1560,0
nU1561,0
nU1562,0
nU1563,0
nU1564,0
nU1565,0
nU1566,0
nU1567,0
nU1568,0
nU1569,0
nU1570,0
nU1571,0
nU1572,0
nU1573,0
nU1574,0
nU1575,0
nU1576,0
nU1577,0
nU1578,0
nU1579,0
nU1580,0
nU1581,0
nU1582,0
nU1583,0
nU1584,0
nU1585,0
nU1586,0
nU1587,0
nU1588,0
nU1589,0
nU1590,0
nU1591,0
nU1592,0
nU1593,0
nU1594,0
nU1595,0
nU1596,0
nU1597,0
nU1598,0
nU1599,0
nU1600,0
nU1601,0
nU1602,0
nU1603,0
nU1604,0
nU1605,0
nU1606,0
nU1607,0
nU1608,0
nU1609,0
nU1610,0
nU1611,0
nU1612,0
nU1613,0
nU1614,0
nU1615,0
nU1616,0
nU1617,0
nU1618,0
nU1619,0
nU1620,0
nU1621,0
nU1622,0
nU1623,1
nU1624,1
nU1625,0
nU1626,0
nU1627,0
nU1628,0
nU1629,0
nU1630,0
nU1631,0
nU1632,0
nU1633,0
nU1634,0
nU1635,0
nU1636,0
nU1637,0
nU1638,0
nU1639,0
nU1640,0
nU1641,0
nU1642,0
nU1643,0
nU1644,0
nU1645,0
nU1646,0
nU1647,0
nU1648,0
nU1649,0
nU1650,0
nU1651,0
nU1652,0
nU1653,0
nU1654,0
