Node	ZeroAct	UpAct	DownAct	AvgAct	nodesType
NTN1	100	0	0	0	
OXSR1	100	0	0	0	
BAG3	100	0	0	0	
PAK4	100	0	0	0	
F2	100	0	0	0	
EPS15	100	0	0	0	
HDAC6	100	0	0	0	
HP	100	0	0	0	
PLAU	100	0	0	0	
TNFSF10	100	0	0	0	
PLAUR	100	0	0	0	
REN	100	0	0	0	
APOB	100	0	0	0	
COL4A1	100	0	0	0	
CRYAA	100	0	0	0	
CRYAB	100	0	0	0	
APOE	100	0	0	0	
KLKB1	100	0	0	0	
PROC	100	0	0	0	
F8	100	0	0	0	
MAP3K7	100	0	0	0	
INHA	100	0	0	0	
CD3E	100	0	0	0	
S100A9	100	0	0	0	
FES	100	0	0	0	
COL1A2	100	0	0	0	
CD55	100	0	0	0	
MMP3	100	0	0	0	
COL4A2	100	0	0	0	
CFH	100	0	0	0	
CHRM5	100	0	0	0	
EPOR	100	0	0	0	
STK11	100	0	0	0	
UBC	100	0	0	0	
HSPA1A	100	0	0	0	
PRKAR1A	100	0	0	0	
MCF2	100	0	0	0	
FGF5	100	0	0	0	
ACE	100	0	0	0	
XRCC6	100	0	0	0	
GTF2F2	100	0	0	0	
TCF3	100	0	0	0	M
SDC4	100	0	0	0	
ASF1B	100	0	0	0	
PRKAR2B	100	0	0	0	
CAPN2	100	0	0	0	
HLA_G	100	0	0	0	
ERCC2	100	0	0	0	
ERCC3	100	0	0	0	
CR2	100	0	0	0	
CHRM3	100	0	0	0	
ICAM1	100	0	0	0	
ITGAL	100	0	0	0	
CAST	100	0	0	0	
TRAF2	100	0	0	0	
SYT1	100	0	0	0	
FGFR3	100	0	0	0	
PRKACB	100	0	0	0	
NFYA	0	100	0	100	M
GATA2	0	100	0	100	M
TNC	100	0	0	0	
LMO2	100	0	0	0	
ACVR2A	100	0	0	0	
PTPRR	100	0	0	0	
ARNT	100	0	0	0	
IL10	100	0	0	0	
PCSK1	100	0	0	0	
TACR3	100	0	0	0	
PPP2R1A	100	0	0	0	
PPP2R1B	100	0	0	0	
AVPR2	100	0	0	0	
CLIP1	100	0	0	0	
HOXA9	100	0	0	0	
STIP1	100	0	0	0	
ARRB2	100	0	0	0	
GTF2H1	100	0	0	0	
PYCARD	100	0	0	0	
CIITA	100	0	0	0	
RFX5	100	0	0	0	M
CDH5	100	0	0	0	
NTF4	100	0	0	0	
GRK5	100	0	0	0	
GRK3	100	0	0	0	
FLT3	100	0	0	0	
BMPR1A	100	0	0	0	
LTBR	100	0	0	0	
SNCA	100	0	0	0	
CARD18	100	0	0	0	
ID1	100	0	0	0	
PPP1R2	100	0	0	0	
ASIP	100	0	0	0	
TEC	100	0	0	0	
CDKN2B	100	0	0	0	
PAFAH1B1	100	0	0	0	
PTGIR	100	0	0	0	
FCGR2A	100	0	0	0	
CBX5	100	0	0	0	
NCOA4	100	0	0	0	
JAK1	100	0	0	0	
MASP1	100	0	0	0	
CLK1	100	0	0	0	
CLK2	100	0	0	0	
RAB5C	100	0	0	0	
HCFC1	100	0	0	0	
CHN2	100	0	0	0	
COL4A4	100	0	0	0	
PRKAG1	100	0	0	0	
VCP	100	0	0	0	
MTTP	100	0	0	0	
IRS1	100	0	0	0	
PKNOX1	100	0	0	0	
MTCP1	100	0	0	0	
PEX3	100	0	0	0	
PCBD1	100	0	0	0	
NUTF2	100	0	0	0	
SRPK2	100	0	0	0	
CSNK1G2	100	0	0	0	
RAE1	100	0	0	0	
DLK1	100	0	0	0	
FGD1	100	0	0	0	
INSR	100	0	0	0	
CDK3	100	0	0	0	
FLI1	0	100	0	100	M
COL4A3	100	0	0	0	
CENPE	100	0	0	0	
ID2	100	0	0	0	
TCF4	100	0	0	0	
APBA1	100	0	0	0	
CFHR1	100	0	0	0	
KHDRBS1	100	0	0	0	
ARHGAP1	100	0	0	0	
MAVS	100	0	0	0	
GOLGA2	100	0	0	0	
VAC14	100	0	0	0	
AKAP13	100	0	0	0	
BNIP2	100	0	0	0	
ARHGAP5	100	0	0	0	
PPFIA1	100	0	0	0	
NF2	100	0	0	0	
GJA1	100	0	0	0	
CBX3	100	0	0	0	
SEMA3B	100	0	0	0	
NUMB	100	0	0	0	
IFIH1	100	0	0	0	
DNAJC3	100	0	0	0	
NOG	100	0	0	0	
SEMA3F	100	0	0	0	
EIF3I	100	0	0	0	
PIN1	100	0	0	0	
CAMK2B	100	0	0	0	
CAMK2G	100	0	0	0	
CAMK2D	100	0	0	0	
PEX6	100	0	0	0	
CUL1	100	0	0	0	
STAT1	0	100	0	100	M
CUL3	100	0	0	0	
FHL1	100	0	0	0	
CBFB	0	0	100	-100	
COL4A6	100	0	0	0	
MELK	100	0	0	0	
DOCK1	100	0	0	0	
SIM2	100	0	0	0	
E2F2	100	0	0	0	M
TGFB1I1	100	0	0	0	
GRB14	100	0	0	0	
EIF2AK2	100	0	0	0	
MAD2L1BP	100	0	0	0	
PCM1	100	0	0	0	
PPP2R5B	100	0	0	0	
PTGES3	100	0	0	0	
RABEP1	100	0	0	0	
RPS6KA2	100	0	0	0	
TESK1	100	0	0	0	
TARBP2	100	0	0	0	
DICER1	100	0	0	0	
MYLK	100	0	0	0	
TICAM1	100	0	0	0	
NCOA1	100	0	0	0	
GRK1	100	0	0	0	
ADIPOQ	100	0	0	0	
PKN1	100	0	0	0	
TRIP6	100	0	0	0	
ACTB	100	0	0	0	
ARHGEF6	100	0	0	0	
ASAP2	100	0	0	0	
KTN1	100	0	0	0	
ASAP1	100	0	0	0	
IFNG	100	0	0	0	
PFN1	100	0	0	0	
NEDD9	100	0	0	0	
ZYX	100	0	0	0	
GRB7	100	0	0	0	
ITGA5	100	0	0	0	
ITGB5	100	0	0	0	
EZR	100	0	0	0	
ITGAV	100	0	0	0	
PRNP	100	0	0	0	
CCL18	100	0	0	0	
IRF3	100	0	0	0	
CD48	100	0	0	0	
CD58	100	0	0	0	
HLA_A	100	0	0	0	
HLA_B	100	0	0	0	
HLA_C	100	0	0	0	
ICOSLG	100	0	0	0	
IL16	100	0	0	0	
MICA	100	0	0	0	
MICB	100	0	0	0	
NCR3LG1	100	0	0	0	
IGF2	100	0	0	0	
NECTIN3	100	0	0	0	
PDCD1LG2	100	0	0	0	
PF4	100	0	0	0	
SLIT1	100	0	0	0	
PGF	100	0	0	0	
