,control0,control1,control2,control3,control4,control5,control6,control7,control8,control9,control10,control11,perturbed0,perturbed1,perturbed2,perturbed3,perturbed4,perturbed5,perturbed6,perturbed7,perturbed8,perturbed9,perturbed10,perturbed11
OXSR1,-0.36797583,-0.21625523,0.014926601,-0.3111874,-0.19508582,-0.4086002,-0.30961177,-0.14289482,-0.5223586,-0.19164717,-0.024892993,-0.0025114424,-0.3446827,-0.19296208,0.038219746,-0.28789425,-0.17179269,-0.38530707,-0.28631863,-0.119601674,-0.49906546,-0.16835403,-0.0015998483,0.020781703
PHF8,0.018187376,-0.023684323,0.5156907,0.49673855,0.16563521,0.069600426,-0.35901222,-0.074361,0.17302358,0.06454062,-0.2405017,0.08059752,0.07062401,0.028752312,0.56812733,0.5491752,0.21807185,0.12203706,-0.3065756,-0.021924362,0.22546022,0.11697725,-0.18806507,0.13303415
LCLAT1,-0.33425438,-0.13932511,-0.07029134,0.024750166,-0.2527383,-0.33734024,0.02499865,0.033897072,-0.28556097,-0.5726797,0.1332035,0.11973302,-0.32797435,-0.13304508,-0.064011306,0.0310302,-0.24645826,-0.3310602,0.031278685,0.040177107,-0.27928093,-0.56639963,0.13948354,0.12601306
ADH6,1.4443216,1.7181265,1.7175878,1.5911868,1.23832,1.6609025,1.2047877,1.8235807,1.5023024,1.2476996,1.3528918,1.7837429,1.4477458,1.7215507,1.721012,1.5946109,1.2417442,1.6643267,1.2082119,1.8270049,1.5057266,1.2511238,1.356316,1.7871671
MIR4435-2HG,-0.7624429,-1.2775123,-0.98960596,-1.0133746,-0.9031827,-1.1686072,-0.8301372,-0.959662,-1.1847495,-1.2254045,-1.0138391,-1.039964,-0.75674224,-1.2718116,-0.9839053,-1.0076739,-0.89748204,-1.1629065,-0.82443655,-0.9539614,-1.1790488,-1.2197038,-1.0081384,-1.0342633
KAT5,-0.36761725,-0.07835172,0.11048682,0.18753405,0.003814774,-0.15249558,0.17292748,0.08165886,-0.026499977,-0.49059147,-0.13493656,-0.0155721735,-0.3489433,-0.05967775,0.12916079,0.20620802,0.022488743,-0.1338216,0.19160146,0.100332834,-0.007826008,-0.4719175,-0.116262585,0.003101796
SH3RF3,-1.8569777,-2.4172246,-1.5127302,-1.6878765,-2.2734842,-2.0842335,-1.0663551,-2.0505052,-2.2547472,-2.1469803,-1.6118258,-2.0104873,-1.8536466,-2.4138935,-1.5093992,-1.6845454,-2.270153,-2.0809023,-1.063024,-2.047174,-2.251416,-2.143649,-1.6084948,-2.0071561
GXYLT2,-1.7702932,-1.9849918,-1.8166465,-1.8898858,-2.1427488,-1.9293407,-1.7141559,-2.3907986,-2.1711671,-2.3257842,-1.3353057,-2.0993316,-1.7029599,-1.9176584,-1.7493131,-1.8225524,-2.0754156,-1.8620074,-1.6468226,-2.3234653,-2.103834,-2.258451,-1.2679724,-2.0319984
DCAKD,-0.38353854,0.11457075,-0.05272371,0.0665162,0.115091234,-0.10045132,0.120593965,0.19730888,-0.06890676,-0.31855294,-0.29690072,-0.034437,-0.46493065,0.03317865,-0.13411582,-0.014875904,0.033699133,-0.18184343,0.039201863,0.11591678,-0.15029886,-0.39994505,-0.37829283,-0.1158291
ARPP21,0.5298547,0.30001217,0.7940207,0.3561583,0.3252458,-0.12513223,-0.13405001,0.8672045,-0.25838816,0.31749314,0.121601015,0.14947589,0.86884093,0.6389984,1.1330069,0.69514453,0.664232,0.21385401,0.20493624,1.2061907,0.080598086,0.65647936,0.46058726,0.48846215
