,control0,control1,control2,control3,control4,control5,control6,control7,control8,control9,control10,control11,perturbed0,perturbed1,perturbed2,perturbed3,perturbed4,perturbed5,perturbed6,perturbed7,perturbed8,perturbed9,perturbed10,perturbed11
EVPLL,-0.5447952,0.3931548,0.23386197,-0.3456821,-0.16560942,-0.14746374,0.15117906,0.22976828,0.028183743,0.060659736,0.37144607,0.35339737,-0.5697972,0.3681528,0.20885995,-0.37068412,-0.19061142,-0.17246574,0.12617704,0.20476627,0.0031817332,0.035657726,0.34644407,0.32839537
TMEM102,-0.21292688,-0.07258016,0.23035164,-0.20697549,0.2805916,0.061860505,0.027455201,0.35802805,0.09955026,-0.028202068,0.15797761,0.092888705,-0.1877336,-0.04738688,0.25554493,-0.18178222,0.30578488,0.08705378,0.052648477,0.38322133,0.124743536,-0.0030087903,0.18317088,0.11808199
TOP3A,-0.26166847,0.07480478,-0.006661475,0.00664804,0.0051834164,0.1380009,0.19163126,0.11412224,-0.25528577,-0.17886713,0.024381433,0.15724511,-0.3469927,-0.010519452,-0.09198571,-0.078676194,-0.08014082,0.05267667,0.10630702,0.028798006,-0.34061,-0.26419136,-0.060942803,0.07192088
HNRNPH1,-0.15625554,-0.01441068,0.39135855,-0.12258149,0.0035837898,0.14639992,0.03915584,0.026153767,-0.02812899,0.14210965,0.06544472,0.36465508,-0.15965463,-0.017809762,0.38795948,-0.12598057,0.00018470758,0.14300083,0.03575676,0.022754686,-0.031528074,0.13871056,0.06204564,0.361256
RUFY1,-0.426837,-0.36405766,0.0730592,-0.3350657,-0.08132414,-0.03944518,-0.25139087,-0.015550838,-0.26298162,0.015324714,-0.10224166,-0.10601153,-0.48281297,-0.42003363,0.017083235,-0.39104167,-0.1373001,-0.09542115,-0.30736685,-0.0715268,-0.3189576,-0.040651254,-0.15821762,-0.1619875
POLR3E,0.19375852,-0.1594102,-0.15920363,-0.49301526,0.054120503,-0.28940725,0.17690669,-0.1555828,-0.0974057,0.27262768,0.30160674,0.14079168,0.114286885,-0.23888183,-0.23867527,-0.5724869,-0.02535113,-0.3688789,0.09743506,-0.23505443,-0.17687733,0.19315605,0.22213511,0.06132005
ANKS4B,0.64101285,1.0615033,0.86201185,0.65371174,0.71549976,0.83538073,0.8755529,1.1330817,0.7562973,0.7473701,1.0504625,1.1221911,0.5856012,1.0060917,0.8066002,0.5983001,0.6600881,0.7799691,0.82014126,1.0776701,0.70088565,0.6919585,0.99505085,1.0667795
SHMT1,0.7556467,1.0681868,1.0594417,0.85677797,1.0120854,0.70127064,0.97718173,1.3131945,1.0115026,1.0647978,0.9604311,1.2165694,0.7167807,1.0293207,1.0205756,0.817912,0.97321945,0.66240466,0.93831575,1.2743285,0.97263664,1.0259317,0.9215651,1.1777034
COG5,-0.07102291,-0.52840036,-0.32887787,-0.5400557,-0.49530354,-0.5761251,-0.41993743,-0.14549723,-0.25222805,-0.19227959,0.080999516,-0.36164647,-0.14793877,-0.6053162,-0.40579373,-0.61697155,-0.5722194,-0.65304095,-0.4968533,-0.2224131,-0.3291439,-0.26919544,0.004083656,-0.43856233
TBC1D9B,-0.26547283,-0.30937144,0.124192916,-0.22033036,0.04891233,-0.30576348,0.114795364,0.0007384114,-0.28123686,-0.14118312,-0.29285035,-0.07009669,-0.39492428,-0.43882287,-0.005258523,-0.3497818,-0.08053911,-0.43521494,-0.014656074,-0.12871303,-0.41068828,-0.27063456,-0.42230177,-0.19954813
SLC25A24,-1.514616,-1.255426,-0.91814834,-1.1073054,-1.0237088,-1.1000558,-1.075353,-1.3111991,-1.4385031,-1.3222145,-0.38677976,-0.9401399,-1.3841192,-1.1249292,-0.7876515,-0.97680855,-0.89321196,-0.96955895,-0.94485617,-1.1807022,-1.3080063,-1.1917176,-0.2562829,-0.80964303
MOSMO,0.042716116,0.37488997,-0.049307674,-0.042405143,0.022170797,-0.116785236,-0.077446274,0.20356381,-0.24525881,0.24981098,0.2673626,0.15591443,0.091308504,0.42348236,-0.0007152818,0.006187249,0.070763186,-0.06819284,-0.028853882,0.2521562,-0.19666642,0.29840338,0.31595498,0.20450681
MIEF2,0.07214991,-0.2078559,0.11439444,-0.34550676,-0.2735366,-0.01985025,0.09719151,0.42405674,-0.12942131,-0.10571949,0.108415015,0.43421403,0.012621306,-0.2673845,0.054865837,-0.40503538,-0.3330652,-0.07937886,0.03766291,0.36452812,-0.18894991,-0.1652481,0.04888641,0.3746854
MGAT4B,0.43373767,0.7579096,0.67527014,0.5110903,0.7139492,0.50678307,0.8863355,0.8267164,0.6200784,0.53538924,0.63364506,0.64242023,0.49670663,0.82087857,0.7382391,0.57405925,0.7769182,0.56975204,0.94930446,0.8896854,0.68304735,0.5983582,0.696614,0.7053892
METTL9,-0.9713933,-1.2436807,-0.9370003,-0.92303306,-1.0299118,-0.84488803,-0.77144825,-1.1420023,-1.230559,-0.6380676,-0.8838794,-0.78332907,-0.8771548,-1.1494422,-0.8427618,-0.8287946,-0.9356733,-0.7506496,-0.6772098,-1.0477638,-1.1363205,-0.54382914,-0.78964096,-0.6890906
FLII,-0.5947919,-0.20903705,-0.12044001,-0.4451507,-0.23501433,-0.27728027,0.40386108,-0.28420433,-0.108798444,-0.4719729,-0.10458484,-0.13636257,-0.5807522,-0.19499734,-0.1064003,-0.43111098,-0.22097462,-0.26324055,0.4179008,-0.2701646,-0.094758734,-0.4579332,-0.09054513,-0.12232286
OR2A7,-0.04368891,0.46795478,0.14645451,0.09903567,-0.04270169,0.057570834,0.24498664,-0.08090879,0.03102977,-0.18505925,0.59210205,0.32146567,-0.022443153,0.48920053,0.16770026,0.12028143,-0.021455936,0.07881659,0.2662324,-0.059663035,0.052275524,-0.1638135,0.6133478,0.34271142
GMPR2,0.014349847,-0.111694306,-0.2757561,-0.2713154,0.094325624,-0.25384784,-0.12147381,-0.20440076,0.075661615,0.0591663,-0.011004091,-0.24976018,-0.054982856,-0.18102701,-0.34508878,-0.3406481,0.02499292,-0.32318056,-0.19080651,-0.27373347,0.0063289106,-0.010166403,-0.080336794,-0.31909287
TBCE,-0.3810789,-0.041653037,-0.43881992,-0.40193146,-0.16514145,-0.2138354,-0.059739664,0.021258721,-0.18193711,-0.12867413,0.0777781,-0.0854619,-0.36980668,-0.030380823,-0.4275477,-0.39065924,-0.15386924,-0.2025632,-0.04846745,0.032530934,-0.1706649,-0.11740192,0.089050315,-0.074189685
HSF1,-0.34613594,-0.5263244,-0.35904318,-0.32546192,-0.08852873,-0.38173103,-0.081334926,-0.29789025,-0.38161322,-0.3476951,-0.45205274,-0.43903562,-0.29660448,-0.47679293,-0.30951172,-0.27593046,-0.03899726,-0.33219957,-0.031803455,-0.24835877,-0.33208176,-0.29816365,-0.40252128,-0.38950416
PTEN,0.09901812,-0.042333506,0.1253624,-0.1709843,-0.27857494,-0.18195711,-0.49396187,0.1711504,-0.38696918,-0.14293882,0.37098718,0.39420295,0.059052903,-0.082298726,0.085397184,-0.21094951,-0.31854016,-0.22192232,-0.5339271,0.13118519,-0.4269344,-0.18290403,0.33102196,0.35423774
DCAF11,0.50307935,0.3943491,0.51325303,0.47999746,0.5207392,0.51487833,0.44778207,0.68949544,0.57206506,0.53686184,0.40534487,0.6456711,0.3319216,0.22319135,0.3420953,0.3088397,0.34958145,0.3437206,0.27662432,0.5183377,0.4009073,0.3657041,0.23418713,0.47451338
DHRS4,0.24244067,0.47640067,0.49531236,0.32981265,0.5771378,0.33857685,0.46722245,0.7346619,0.5395044,0.27768323,0.44521287,0.6434027,0.14290564,0.37686563,0.39577734,0.23027761,0.47760278,0.23904182,0.3676874,0.6351268,0.43996936,0.1781482,0.34567785,0.54386765
ADCY4,-0.6138377,-0.047385354,0.45536992,0.10058052,0.13411592,-0.5655762,0.45172966,0.11426042,0.35946923,0.7205083,-0.3878948,0.08537703,-0.5520244,0.01442796,0.51718324,0.16239384,0.19592923,-0.5037629,0.51354295,0.17607373,0.42128256,0.7823216,-0.32608148,0.14719035
EPHA1,0.2643348,0.9635385,1.1544431,0.68873733,0.79792863,0.6883649,0.8978651,1.4393593,0.6821062,0.16069885,1.0141819,1.3471172,0.26831597,0.9675197,1.1584243,0.6927185,0.8019098,0.6923461,0.9018463,1.4433404,0.68608737,0.16468002,1.018163,1.3510983
POLR2A,-0.5907998,-0.34400722,-0.20925274,-0.18694238,-0.20571497,-0.56082,-0.21306512,0.02728565,-0.39065698,-0.50116736,-0.29018688,-0.08104347,-0.42808378,-0.18129121,-0.04653673,-0.024226367,-0.042998955,-0.39810395,-0.0503491,0.19000167,-0.22794096,-0.33845133,-0.12747087,0.08167255
DCP1B,-0.25056863,-0.30071422,-0.06622739,-0.38992944,-0.4499272,-0.026307415,-0.22137778,-0.033379387,-0.08058474,-0.10288582,-0.35241225,-0.26305315,-0.3804413,-0.43058687,-0.19610006,-0.5198021,-0.5797999,-0.15618008,-0.35125044,-0.16325206,-0.21045741,-0.23275849,-0.4822849,-0.3929258
DHRS1,-0.17493668,0.54385936,0.3065677,0.39646623,0.41604358,0.47713876,0.6038441,0.6214291,0.56823397,0.15134194,0.3240148,0.54974884,-0.4298472,0.28894883,0.05165717,0.1415557,0.16113305,0.22222823,0.34893358,0.36651856,0.31332344,-0.103568584,0.069104284,0.2948383
EEFSEC,0.15347609,0.2991701,0.09862605,0.03456968,0.2918522,0.07653407,0.20276175,0.44271785,0.07835166,0.00648981,0.14776465,0.11454764,0.17833482,0.32402885,0.123484775,0.05942841,0.31671095,0.1013928,0.22762048,0.46757656,0.10321039,0.031348538,0.17262338,0.13940637
TRMT9B,0.3098566,0.2160998,0.042735625,0.30101356,-0.14616828,0.28773078,-0.6987626,0.052744087,0.05772876,-0.1255431,-0.77738684,0.14686504,0.40078628,0.3070295,0.13366532,0.39194325,-0.055238582,0.37866047,-0.6078329,0.14367378,0.14865845,-0.03461341,-0.68645716,0.23779473
DEFB1,0.4669307,0.78113776,1.0601786,0.67818785,0.69824636,0.897619,0.4520018,1.2785971,0.9957337,0.29292944,0.51693213,0.9227906,1.0540092,1.3682163,1.6472571,1.2652664,1.2853248,1.4846976,1.0390804,1.8656757,1.5828122,0.880008,1.1040106,1.5098691
PSME2,0.16517787,-0.024211206,-0.030064737,-0.15030318,-0.19983356,0.17203407,0.8653375,0.009601765,0.026744256,-0.05590583,0.025680372,-0.0234549,0.18999335,0.00060427375,-0.005249258,-0.1254877,-0.17501807,0.19684955,0.890153,0.034417246,0.051559735,-0.03109035,0.05049585,0.0013605785
OR2A5,0.17807774,0.32948056,0.13113914,0.9301735,-0.0682238,-0.6267696,0.2784305,0.29174772,-0.48954412,-0.25391915,0.034738716,-0.29669002,-0.013284132,0.13811868,-0.06022273,0.7388116,-0.25958568,-0.81813145,0.08706862,0.100385845,-0.680906,-0.44528103,-0.15662315,-0.4880519
KBTBD4,-0.13833652,-0.04478604,-0.10171553,-0.014723961,-0.02781313,-0.26071024,-0.25501454,-0.19106606,-0.03056628,-0.34027067,-0.20100932,-0.20662269,-0.20536351,-0.11181302,-0.16874251,-0.081750944,-0.09484011,-0.3277372,-0.3220415,-0.25809303,-0.09759326,-0.40729764,-0.2680363,-0.27364966
RUVBL1,-0.19906873,-0.20213291,-0.4359058,-0.3072525,-0.54721326,-0.26060373,0.049798258,-0.24102837,-0.36810493,-0.30970356,-0.018993312,-0.35324073,-0.23183669,-0.23490088,-0.46867377,-0.34002045,-0.5799812,-0.29337168,0.017030295,-0.27379632,-0.4008729,-0.3424715,-0.051761277,-0.38600868
TINF2,-0.44855717,-0.4726471,-0.1944893,-0.45974976,-0.22252113,-0.37131226,-0.41332388,-0.17815442,-0.5262297,-0.40545177,-0.25355193,-0.09001425,-0.40352213,-0.42761207,-0.14945428,-0.41471472,-0.1774861,-0.32627723,-0.36828884,-0.1331194,-0.48119465,-0.36041674,-0.20851691,-0.044979226
PSME1,0.2133555,0.0022880712,0.0035650018,-0.0484232,-0.02222255,0.25729513,0.7685545,0.095783554,0.008038961,-0.016102683,0.029904114,0.055219665,0.18250199,-0.028565438,-0.027288508,-0.07927671,-0.05307606,0.22644162,0.737701,0.064930044,-0.02281455,-0.046956193,-0.0009493958,0.024366155
ARHGEF5,-0.15398237,0.050339125,0.22520657,-0.22661825,0.56683207,-0.0048247264,0.23830195,0.17420475,-0.10603017,0.25004816,0.5141929,0.287987,-0.023412406,0.1809091,0.35577655,-0.09604828,0.697402,0.12574524,0.36887193,0.3047747,0.024539791,0.38061813,0.6447629,0.41855696
TMEM14C,-0.15803081,-0.3349994,-0.50073045,-0.4106802,-0.4289826,-0.16021739,-0.32285511,-0.4252533,-0.37200597,-0.3373937,-0.0968057,-0.43653452,-0.11508593,-0.29205453,-0.45778558,-0.36773533,-0.3860377,-0.11727251,-0.27991024,-0.38230842,-0.3290611,-0.29444882,-0.053860825,-0.39358965
MED18,0.13609193,-0.05303581,-0.09664442,-0.090580076,-0.055831328,-0.02367129,-0.39587933,0.20347072,-0.10456937,-0.14572258,-0.10021303,0.09751219,0.09886795,-0.09025979,-0.1338684,-0.12780406,-0.09305531,-0.06089527,-0.43310332,0.16624674,-0.14179334,-0.18294656,-0.13743702,0.060288213
CACNA2D4,0.015268248,0.25401148,0.023676427,0.2970876,0.42785227,0.8824368,-0.21790314,0.53485376,0.38255006,-0.38412648,-0.39507225,0.05499117,0.036293708,0.27503693,0.044701885,0.31811306,0.44887772,0.9034623,-0.19687767,0.55587924,0.4035755,-0.36310104,-0.3740468,0.07601663
