,control0,control1,control2,control3,control4,control5,control6,control7,control8,control9,control10,control11,perturbed0,perturbed1,perturbed2,perturbed3,perturbed4,perturbed5,perturbed6,perturbed7,perturbed8,perturbed9,perturbed10,perturbed11
DHTKD1,0.10847478,0.74104214,0.6814956,0.6160066,0.46018717,0.6552298,0.50077695,0.43971804,0.16778268,0.6607369,0.7536425,0.94323516,-0.21869582,0.41387153,0.354325,0.288836,0.13301656,0.3280592,0.17360634,0.11254743,-0.15938793,0.3335663,0.4264719,0.61606455
ZNF746,-0.5299714,-0.6381478,-0.33604455,-0.65276635,-0.5926178,-0.28755215,-0.0051213023,-0.14171882,-0.727364,-0.644764,-0.6340456,-0.55398977,-0.591754,-0.69993037,-0.39782715,-0.71454895,-0.6544004,-0.34933475,-0.0669039,-0.20350142,-0.7891466,-0.7065466,-0.6958282,-0.61577237
TLCD5,-0.2608036,-0.5233377,-0.26277128,-0.810145,-0.7969018,-0.58661836,-0.614909,-0.14134958,-0.6859835,-0.5523209,-0.23104908,-0.6907406,-0.19730432,-0.45983845,-0.19927199,-0.74664575,-0.73340255,-0.5231191,-0.5514097,-0.0778503,-0.6224842,-0.48882163,-0.16754979,-0.6272413
FRAT2,-0.20968553,0.42138803,0.19114025,0.44688162,0.38401654,0.80740935,0.9002544,0.36500418,0.3190974,0.6741347,0.36550337,0.39798594,-0.03937228,0.59170127,0.3614535,0.6171949,0.5543298,0.9777226,1.0705677,0.5353174,0.48941064,0.8444479,0.5358166,0.5682992
ZNF322,0.0945256,0.05874973,0.064314425,-0.27210954,-0.2823407,-0.22704063,-0.072836615,-0.07069106,0.036031507,-0.43256685,-0.067848586,-0.2311549,0.1395962,0.10382034,0.10938503,-0.22703893,-0.2372701,-0.18197003,-0.027766012,-0.025620453,0.08110211,-0.38749623,-0.022777982,-0.1860843
DDX60L,0.04783545,0.19725594,0.5749804,-0.6229359,-0.12975891,-0.07300011,0.12450302,0.17335598,0.003403065,-0.5744311,0.023440674,-0.41502625,-0.114210755,0.03520973,0.41293418,-0.7849821,-0.29180512,-0.23504633,-0.037543193,0.011309773,-0.15864314,-0.7364773,-0.13860554,-0.57707244
SYNE4,0.045157608,0.25519618,0.2152664,0.5312185,0.93217456,0.5225917,0.5669558,0.25262576,0.4454772,0.55064464,0.49003467,0.5078704,0.2481713,0.45820987,0.4182801,0.7342322,1.1351882,0.72560537,0.76996946,0.45563945,0.6484909,0.7536583,0.69304836,0.7108841
OGFOD3,-0.3327959,-0.17520107,-0.37637118,-0.09436404,0.10781747,0.118405096,0.043389454,-0.14672965,-0.26893434,-0.16198239,-0.058206677,-0.24746983,-0.2947129,-0.13711809,-0.3382882,-0.056281053,0.14590046,0.15648809,0.08147244,-0.10864666,-0.23085135,-0.1238994,-0.02012369,-0.20938684
WASHC1,-0.43613037,-0.31022885,-0.17320795,-0.60936856,-0.38208878,0.14863643,0.0769306,-0.07178705,-0.78970045,-0.18641607,-0.32627618,-0.1973664,-0.63881224,-0.5129107,-0.37588984,-0.81205046,-0.5847707,-0.054045454,-0.12575129,-0.27446893,-0.99238235,-0.38909796,-0.5289581,-0.4000483
AATK,-0.27065977,-0.30747253,-0.20663731,0.077453904,-0.04187847,0.5803471,0.32658938,0.9548361,-0.6995836,-0.32530332,-0.25806403,-0.45737052,-0.65172,-0.6885327,-0.5876975,-0.3036063,-0.42293867,0.19928691,-0.054470837,0.5737759,-1.0806438,-0.70636356,-0.6391243,-0.83843076
ZNF467,-0.26216725,-0.43826607,-0.4773617,-0.37198827,-0.1631191,0.20537609,0.3930677,-0.08410176,-0.57135504,-0.67089635,-0.33045584,-0.56402075,-0.6392429,-0.8153417,-0.85443735,-0.7490639,-0.54019475,-0.17169955,0.015992045,-0.4611774,-0.94843066,-1.047972,-0.70753145,-0.9410964
ZNF678,0.67881083,0.6740403,0.49966943,-0.22351287,-0.038652882,-0.28860417,0.26161283,0.3825834,-0.11560563,0.1956476,0.077963725,-0.36959913,0.7360889,0.73131835,0.55694747,-0.1662348,0.018625185,-0.2313261,0.3188909,0.43986148,-0.058327563,0.25292566,0.13524179,-0.31232107
TMEM45A,1.4754649,-1.0150648,0.036306303,-0.93370366,-0.6770403,-1.0532693,-0.9084716,0.0017985344,-0.21938545,-1.0003333,-1.208828,-0.981817,1.3542252,-1.1363046,-0.08493343,-1.0549434,-0.79828,-1.174509,-1.0297114,-0.1194412,-0.34062517,-1.1215731,-1.3300678,-1.1030568
RAP2B,-0.30354497,0.059255544,0.018264418,-0.15447134,-0.35610652,0.15035535,0.60588396,0.04236231,-0.4371694,-0.07773193,-0.08115111,-0.2815507,-0.23338363,0.12941688,0.088425756,-0.08431,-0.28594518,0.22051668,0.6760453,0.112523645,-0.36700806,-0.0075705945,-0.010989778,-0.21138936
ZBTB2,-0.23818356,-0.6250697,-0.23388225,-0.4806953,-0.24960335,-0.30913448,0.0752884,-0.36592442,-0.02411548,-0.49596307,-0.27027738,-0.32723445,-0.26418033,-0.6510664,-0.25987902,-0.50669205,-0.2756001,-0.33513126,0.049291633,-0.3919212,-0.050112247,-0.52195984,-0.29627416,-0.35323122
RNF135,-0.43786433,0.12691016,-0.40476093,-0.36697948,-0.17490417,-0.10099225,-0.06396558,-0.19461642,-0.13024853,-0.018925697,-0.32600492,-0.20512168,-0.06169662,0.50307786,-0.028593212,0.009188235,0.20126355,0.27517545,0.31220213,0.18155129,0.24591918,0.35724202,0.050162792,0.17104603
ACBD4,0.2411096,0.3465199,0.19274014,0.34420985,0.38085818,0.55783015,0.4214127,0.3670029,0.12402295,0.50921494,0.033609945,0.11363669,0.052369997,0.15778029,0.0040005445,0.15547025,0.19211859,0.36909056,0.23267311,0.1782633,-0.064716645,0.32047534,-0.15512966,-0.07510291
SGSH,-0.09760138,-0.6563773,0.029828181,-0.6972273,-0.4170662,-0.22893749,-0.38991293,-0.13188341,-0.9494997,-0.8718976,-0.4806439,-0.62329286,-0.32462263,-0.8833986,-0.19719309,-0.9242486,-0.64408743,-0.45595875,-0.6169342,-0.35890466,-1.176521,-1.0989188,-0.70766515,-0.85031414
MAB21L2,-0.0022306738,0.45354837,0.42600757,0.5807322,-0.17732021,1.099252,0.7696633,0.53305566,0.109414235,0.42965215,0.2974187,0.09253641,0.1473104,0.60308945,0.57554865,0.7302733,-0.027779132,1.2487931,0.91920435,0.68259674,0.2589553,0.57919323,0.4469598,0.2420775
SETD2,-0.27414542,-0.056506965,0.08332977,-0.17390063,-0.13629565,-0.16797403,0.38163868,-0.2540837,-0.15378281,-0.5308623,-0.19833647,-0.25354615,-0.3061883,-0.08854982,0.051286906,-0.2059435,-0.1683385,-0.20001689,0.34959581,-0.28612655,-0.18582568,-0.56290513,-0.23037933,-0.285589
MEX3D,-0.37422296,-0.28589913,-0.15993902,-0.30735326,-0.3146147,-0.23233223,-0.008344887,-0.23957069,-0.6721311,-0.33858174,-0.56248456,-0.70721817,-0.3018767,-0.21355286,-0.08759276,-0.23500699,-0.24226844,-0.15998596,0.064001374,-0.16722444,-0.59978485,-0.26623547,-0.4901383,-0.6348719
MRPS23,0.020570805,0.067984104,-0.21086748,-0.07572637,0.121642224,0.012802476,-0.03605899,-0.031275753,-0.007538401,0.020986052,-0.18290146,-0.30306196,0.20661287,0.25402617,-0.024825409,0.1103157,0.3076843,0.19884455,0.14998308,0.15476632,0.17850366,0.20702812,0.0031406134,-0.11701989
GPR135,-0.5276512,-0.22165267,-0.26195335,-0.18322386,-0.8694741,-0.5171349,-0.4548443,-0.37811363,-0.7252747,-0.55512315,-0.07873439,-0.4755493,-0.4717214,-0.1657229,-0.20602359,-0.1272941,-0.81354433,-0.46120512,-0.39891452,-0.32218385,-0.6693449,-0.49919337,-0.022804622,-0.41961953
SLX1B,-0.009307248,-0.2577184,0.06588896,-0.09368808,0.20621629,0.5216623,0.26703078,0.28825057,-0.3444658,-0.19177327,-0.22497073,0.36660814,0.17806642,-0.070344746,0.25326264,0.09368559,0.39358997,0.709036,0.45440444,0.47562423,-0.15709212,-0.0043995976,-0.03759706,0.5539818
TNFSF15,0.21425685,-0.45978877,-0.38007304,-0.6115952,0.1328655,-0.18799978,0.34673154,-0.19241768,-0.46852982,-0.45682368,-0.5676787,-0.015807277,0.67384744,-0.00019821525,0.07951751,-0.15200466,0.59245604,0.27159077,0.8063221,0.26717287,-0.008939266,0.0027668774,-0.108088136,0.44378328
ZFP41,-0.3410215,0.17791018,-0.23946138,-0.15106408,-0.3743216,0.23825793,0.6751264,-0.19287105,-0.84616536,-0.50378966,0.0126762055,-0.18265086,-0.49472538,0.02420631,-0.39316523,-0.30476797,-0.5280255,0.08455406,0.5214225,-0.3465749,-0.9998692,-0.65749353,-0.14102766,-0.33635473
GPR88,-0.506985,0.0012165903,0.01828085,0.07559782,-0.15408775,0.33405384,0.49888098,0.24024019,-0.52410376,0.38997254,0.8777962,0.45162407,-1.2306398,-0.7224382,-0.70537394,-0.648057,-0.8777425,-0.38960096,-0.22477382,-0.48341462,-1.2477586,-0.33368227,0.15414137,-0.27203074
ZNF875,-0.19829759,-0.5387376,-0.0063235746,-0.7593211,-0.07657385,-0.3177036,-0.33655196,-0.44775736,-0.76671135,-0.6593606,-0.15939124,-0.29949477,-0.14232653,-0.48276654,0.04964748,-0.70335007,-0.020602793,-0.26173255,-0.2805809,-0.3917863,-0.7107403,-0.6033895,-0.10342018,-0.24352372
PLAG1,-0.82728285,-0.7308649,-0.18340078,-1.0942972,-1.1942867,-1.0086839,-1.4408524,-0.35424402,-1.4344049,-0.16898322,-1.0226673,-1.3919355,-1.2875029,-1.1910849,-0.6436208,-1.5545171,-1.6545067,-1.4689039,-1.9010724,-0.81446403,-1.8946248,-0.6292032,-1.4828873,-1.8521554
YIPF6,0.22938037,0.0017838231,-0.24866307,-0.062766254,0.16002166,-0.107686594,-0.16147247,-0.10198714,0.21671061,0.013222284,0.16887683,0.08854244,0.5195872,0.29199067,0.04154378,0.2274406,0.4502285,0.18252026,0.12873438,0.18821971,0.5069175,0.30342913,0.45908368,0.37874928
ZBTB20,-0.1376852,0.8715042,0.616302,0.30346036,0.107091516,0.09101189,1.0953188,0.26424947,-0.09738728,1.0090663,0.8958481,0.6537746,-0.2651112,0.74407816,0.488876,0.17603435,-0.020334497,-0.036414124,0.96789277,0.13682346,-0.22481328,0.8816403,0.76842207,0.5263486
DIPK2A,-0.25619102,-0.7136732,-0.38977775,-0.28080785,-0.7179884,-0.45031196,-0.36021975,-0.24947912,-0.41227603,-0.79721713,-0.46232492,-0.67926294,-0.09829694,-0.5557791,-0.23188367,-0.12291378,-0.5600943,-0.29241788,-0.20232567,-0.09158504,-0.25438195,-0.63932306,-0.30443084,-0.52136886
