,control0,control1,control2,control3,control4,control5,control6,control7,control8,control9,control10,control11,perturbed0,perturbed1,perturbed2,perturbed3,perturbed4,perturbed5,perturbed6,perturbed7,perturbed8,perturbed9,perturbed10,perturbed11
GPT,0.34646398,0.8556304,0.71876407,0.66036564,0.9359808,0.35656536,0.9491662,1.0337481,0.754392,0.08980521,0.58839357,0.44001853,1.0136383,1.5228046,1.3859383,1.3275399,1.603155,1.0237396,1.6163404,1.7009224,1.4215662,0.7569794,1.2555678,1.1071928
KIFC2,-0.17194967,0.3784422,0.85554534,0.028203325,0.58778447,0.077813484,0.40586486,0.40129542,0.4078945,0.23899643,0.3505704,0.41023555,-0.2077166,0.34267527,0.81977844,-0.007563604,0.55201757,0.042046554,0.37009794,0.3655285,0.37212756,0.2032295,0.31480348,0.37446862
SRR,-0.31745893,-0.0886302,-0.14953347,-0.13896447,-0.038641863,0.014373427,-0.3395153,-0.16542637,-0.66331524,-0.2106925,-0.07570876,-0.06351095,-0.53355837,-0.30472967,-0.36563295,-0.35506395,-0.25474134,-0.20172605,-0.55561477,-0.38152584,-0.8794147,-0.42679197,-0.29180825,-0.27961043
TSR1,-0.32475835,-0.4367691,-0.17129599,-0.4976314,-0.5667681,-0.42795217,-0.27594098,-0.25776193,-0.58916414,-0.2953387,-0.034957767,-0.2164346,-0.31036362,-0.42237437,-0.15690124,-0.48323667,-0.55237335,-0.41355744,-0.26154625,-0.24336718,-0.5747694,-0.28094396,-0.020563025,-0.20203985
TRPV3,0.05068087,0.5920611,0.7292501,0.38696682,0.41750982,0.37723565,0.5951928,0.20855343,0.3145588,-0.050743457,0.4685786,0.47865134,-0.05097287,0.49040735,0.6275963,0.28531307,0.3158561,0.2755819,0.49353904,0.10689969,0.21290506,-0.1523972,0.36692488,0.3769976
HSD11B1L,-0.010238592,-0.22923166,0.044421982,-0.074023336,-0.048934586,0.113998674,0.16717492,0.28520972,0.06126095,-0.35816562,-0.33171088,-0.0824413,-0.09305017,-0.31204322,-0.03838959,-0.1568349,-0.13174616,0.031187102,0.08436335,0.20239815,-0.021550622,-0.4409772,-0.41452244,-0.16525286
CYB5D2,-0.015814364,-0.034107327,0.35895482,0.2619827,0.36286473,0.21781139,0.20083906,0.41431832,0.3766203,0.066151604,0.29653758,0.20438634,0.019194476,0.0009015128,0.39396366,0.29699156,0.39787358,0.25282022,0.23584789,0.44932717,0.41162914,0.101160444,0.33154643,0.23939517
ZNF83,-0.91198075,-0.6920914,-0.09105218,-0.6038839,-0.8942321,-0.9371321,-0.38171652,-1.0744452,-1.0191293,-0.75353086,-0.22709884,-0.44396535,-1.0057101,-0.7858207,-0.18478152,-0.69761324,-0.9879614,-1.0308615,-0.47544587,-1.1681746,-1.1128587,-0.8472602,-0.32082817,-0.5376947
OTUB1,-0.13567275,-0.37360516,-0.24880105,-0.17176385,-0.15350223,-0.12163158,-0.12059422,-0.21827132,-0.15552965,-0.54522413,-0.29334232,-0.45471323,-0.17659014,-0.41452256,-0.28971845,-0.21268125,-0.19441962,-0.16254897,-0.16151161,-0.2591887,-0.19644704,-0.5861415,-0.33425972,-0.49563062
ANGPTL4,-0.37701562,-0.5314991,-0.22273818,-0.39436606,-0.04565608,0.23756404,0.21271187,-0.40999496,-0.45185715,-1.0936532,0.23483945,-0.5347895,-0.44342375,-0.5979072,-0.2891463,-0.46077418,-0.11206421,0.17115591,0.14630374,-0.4764031,-0.51826525,-1.1600614,0.16843133,-0.6011976
