,control0,control1,control2,control3,control4,control5,control6,control7,control8,control9,control10,control11,perturbed0,perturbed1,perturbed2,perturbed3,perturbed4,perturbed5,perturbed6,perturbed7,perturbed8,perturbed9,perturbed10,perturbed11
TMPRSS6,-0.029875556,0.045041222,0.036813945,0.17259519,-0.0344558,0.43514135,0.37396756,0.32290837,-0.22693042,-0.15061955,-0.12801309,0.07500054,0.015193289,0.09011006,0.08188279,0.21766403,0.010613047,0.48021019,0.4190364,0.3679772,-0.18186158,-0.10555071,-0.082944244,0.120069385
CYP4A11,0.6057587,1.0204133,0.8059593,1.2952617,0.79034764,1.13358,0.74694484,1.1807503,0.33252966,1.1696017,0.47774976,1.4380337,0.5500634,0.9647179,0.7502639,1.2395663,0.7346523,1.0778846,0.6912495,1.1250548,0.2768343,1.1139063,0.4220544,1.3823383
TMEM216,-0.27872795,-0.6713136,-0.5559707,-1.1442981,-0.5414512,-0.38953555,-0.4496084,-1.0685446,-0.8345664,-0.5426079,-0.7322305,-0.14720267,-0.26860434,-0.66119,-0.5458471,-1.1341745,-0.5313276,-0.37941194,-0.43948478,-1.058421,-0.8244428,-0.5324843,-0.7221069,-0.13707906
RPS19BP1,-0.20919214,-0.081931144,-0.12383827,0.18697079,0.23545693,0.51858866,0.7066811,-0.012921949,0.099762775,-0.0058459733,0.19202432,-0.19633947,-0.23000468,-0.102743685,-0.1446508,0.16615824,0.21464439,0.49777612,0.68586856,-0.033734486,0.07895024,-0.02665851,0.17121178,-0.21715201
TEAD1,-1.0104382,-0.065886654,-0.17061344,-0.42006236,-0.54422444,-0.50681996,-0.2905202,-0.17532654,-0.9777144,-0.93646514,-0.2942514,-0.35238388,-1.0538583,-0.10930672,-0.21403351,-0.46348244,-0.5876445,-0.55024004,-0.33394027,-0.21874662,-1.0211345,-0.9798852,-0.3376715,-0.39580396
PLCD1,-0.54626757,-0.2631228,-0.22487427,-0.23969759,-0.16844234,-0.2544713,-0.116125874,-0.23444109,-0.49502587,0.103249,-0.19506462,-0.42384252,-0.4609549,-0.17781013,-0.13956162,-0.15438494,-0.08312968,-0.16915864,-0.030813217,-0.14912844,-0.4097132,0.18856165,-0.10975196,-0.33852986
ENTPD5,0.24533877,0.7825863,0.6219961,0.78513277,0.41385096,0.56568086,0.47947773,0.50439227,0.63689727,0.57906556,0.4525236,0.87483114,0.21504305,0.75229055,0.5917004,0.75483704,0.38355523,0.53538513,0.449182,0.47409654,0.60660154,0.54876983,0.42222786,0.8445354
MITF,-0.2924537,-0.32477477,-0.24267994,-0.8835432,-0.45498282,-0.48894435,0.03381916,-0.5157353,-0.7261367,-0.6237023,0.1506611,-1.1716017,-0.3008003,-0.33312136,-0.2510265,-0.89188975,-0.4633294,-0.49729094,0.025472583,-0.5240819,-0.73448324,-0.63204885,0.14231452,-1.1799482
NAP1L1,-0.32971957,-0.46908793,-0.28715375,-0.8411172,-0.68775225,-0.9107927,-0.88403624,-0.43449733,-0.3935559,-0.5963646,-0.42228115,-0.6862583,-0.36457482,-0.50394315,-0.322009,-0.87597245,-0.7226075,-0.94564795,-0.9188915,-0.46935257,-0.42841116,-0.63121986,-0.4571364,-0.72111356
CMC1,0.2761396,-0.10843206,0.124988824,0.4218119,0.15417854,-0.057002857,0.0674824,-0.069443434,0.27518588,0.41101617,0.23060393,0.30311418,0.3180179,-0.06655374,0.16686714,0.46369022,0.19605686,-0.015124541,0.10936071,-0.027565118,0.3170642,0.45289448,0.27248225,0.3449925
AKR1C1,0.28109822,0.38168168,0.21944924,0.28725237,0.49148688,1.1587975,1.5649562,-0.03905548,0.5412669,0.44412595,0.43323374,0.047315788,0.24532634,0.3459098,0.18367736,0.2514805,0.455715,1.1230257,1.5291843,-0.07482736,0.505495,0.40835407,0.39746186,0.011543907
RNF220,-0.27806008,-0.27942285,-0.14478606,-0.09117512,-0.2327502,-0.14728077,0.047808517,-0.044209555,-0.20334221,-0.07614618,0.06762718,-0.15036006,-0.27991748,-0.28128025,-0.14664344,-0.0930325,-0.23460759,-0.14913815,0.045951128,-0.046066944,-0.2051996,-0.07800356,0.06576979,-0.15221745
SHTN1,0.09217467,0.54605126,0.5824088,0.14997925,0.20252044,0.4824294,0.473594,0.1942092,0.19787793,0.2183439,0.41885442,0.30146003,0.035540972,0.48941755,0.5257751,0.09334555,0.14588675,0.42579567,0.4169603,0.1375755,0.14124423,0.1617102,0.3622207,0.24482633
TSPYL4,-1.0542234,-0.7887774,-0.17565235,-0.95738393,-0.7816761,-0.8462092,-0.6290345,-0.7009669,-0.8558253,-0.95394707,-0.6937877,-1.0610701,-1.069436,-0.80398995,-0.1908649,-0.97259647,-0.79688865,-0.86142176,-0.64424706,-0.71617943,-0.87103784,-0.9691596,-0.70900023,-1.0762826
MT1X,0.7439303,-1.6411661,-1.5913341,-0.8502002,0.43359005,-1.0656011,-1.9314137,-0.92707825,0.78718156,-1.4223064,-1.7700641,-1.3183048,1.012533,-1.3725634,-1.3227314,-0.58159745,0.7021928,-0.7969984,-1.6628109,-0.6584755,1.0557842,-1.1537037,-1.5014614,-1.049702
GCNT1,-1.7480253,-1.2067622,-0.777367,-1.257533,-1.4235375,-1.818837,-1.3797795,-0.5217229,-1.4719511,-1.7605344,-1.3094518,-0.7438527,-1.6005502,-1.0592871,-0.6298919,-1.1100578,-1.2760624,-1.6713619,-1.2323043,-0.3742478,-1.324476,-1.6130593,-1.1619767,-0.59637755
SESTD1,0.052564666,-0.04989849,-0.3172359,-0.114282124,-0.16780014,-0.18534975,0.057466477,0.13586572,0.12714902,-0.1532928,0.0320808,0.07306432,0.054245878,-0.048217278,-0.31555468,-0.11260091,-0.16611893,-0.18366854,0.05914769,0.13754693,0.12883022,-0.1516116,0.03376201,0.074745536
FNBP1,-0.3197539,0.33591545,0.22589685,-0.23021099,-0.12467372,0.29057235,0.49674204,-0.2954267,-0.13303511,-0.3495283,0.3175587,-0.087714426,-0.32645693,0.3292124,0.21919379,-0.23691405,-0.13137677,0.2838693,0.490039,-0.30212975,-0.13973817,-0.35623136,0.31085566,-0.09441748
DYNC2H1,-1.6318306,-0.70659095,-0.25568256,-1.113584,-2.0904808,-1.6766944,-1.4663823,-0.7037289,0.13928896,-0.104923725,-0.3811016,-1.7323196,-1.6317128,-0.7064732,-0.25556478,-1.1134663,-2.090363,-1.6765766,-1.4662645,-0.70361114,0.13940674,-0.104805954,-0.38098383,-1.7322018
BCAM,-0.03487714,-0.00019459228,0.109051004,0.43530527,0.41133848,0.79114,0.9018475,0.51100826,-0.6955971,-0.012240344,-0.048420213,0.268691,-0.035310663,-0.0006281162,0.10861748,0.43487173,0.41090494,0.7907065,0.901414,0.51057476,-0.6960306,-0.012673868,-0.048853736,0.26825747
RSBN1L,0.14022616,-0.35823682,0.28469908,0.17869543,-0.15451473,0.23778345,-0.27452925,-0.21177515,0.017809058,0.019669928,-0.073609814,0.11142823,0.16499162,-0.33347136,0.30946454,0.20346089,-0.12974927,0.26254892,-0.24976379,-0.18700969,0.04257452,0.04443539,-0.048844352,0.1361937
EPOR,-0.43031308,-0.054761693,-0.23028554,-0.22094718,-0.31711176,0.031594306,0.19186723,-0.37237757,-0.56625605,-0.45862132,-0.0017233712,-0.39993098,-0.4447311,-0.0691797,-0.24470355,-0.23536518,-0.33152977,0.017176304,0.17744923,-0.38679558,-0.58067405,-0.47303933,-0.016141374,-0.414349
TAF9B,0.28543696,0.16385084,0.14812078,0.3028989,-0.03122353,-0.26795518,-0.43973768,0.08191446,0.27748746,0.06304522,0.120130025,0.10661037,0.25265503,0.13106893,0.11533886,0.27011698,-0.06400544,-0.30073708,-0.47251958,0.04913255,0.24470554,0.030263305,0.08734811,0.07382846
PCDHB13,-0.31171218,0.03765932,-0.15823571,-0.4274244,-0.09390583,-0.87161905,-0.31285065,-0.6694447,-0.21669884,-0.8824606,-0.02321868,-0.4225021,-0.33528057,0.014090933,-0.1818041,-0.4509928,-0.11747421,-0.89518744,-0.33641905,-0.6930131,-0.24026723,-0.906029,-0.04678707,-0.4460705
MAGI2,-0.11369435,-0.78893936,0.14500107,-0.9061029,-1.3021604,-0.8738375,1.7721629,-0.27041703,-1.227821,-0.7241575,-1.1503788,-0.8658438,-0.06081333,-0.73605835,0.19788209,-0.8532219,-1.2492794,-0.82095647,1.8250439,-0.21753602,-1.17494,-0.6712765,-1.0974978,-0.8129628
CHP1,0.0008595779,0.24006851,0.14495945,0.060673386,0.15603143,0.25770962,0.30462238,-0.07290133,0.14518331,0.19016194,0.2224656,0.01093675,-0.030957889,0.20825104,0.113141984,0.02885592,0.124213964,0.22589216,0.27280492,-0.1047188,0.113365844,0.15834448,0.19064814,-0.020880716
FPR3,-0.04372839,-0.37406552,-0.11738431,-0.7055711,-0.05949277,-0.3938815,-0.9589462,-0.4686948,0.4436984,-0.06872797,-0.4036305,-0.5232304,-0.007280059,-0.3376172,-0.08093598,-0.6691228,-0.02304444,-0.35743317,-0.92249787,-0.43224648,0.48014674,-0.03227964,-0.36718217,-0.48678204
C11orf96,-1.4656839,-1.3189594,-0.8830186,-1.0857368,-0.4925333,-1.0078839,-0.97971535,-0.75477463,-0.99223024,-1.2274855,-0.8622351,-1.2645683,-1.4797144,-1.3329898,-0.897049,-1.0997672,-0.5065637,-1.0219144,-0.99374574,-0.768805,-1.0062606,-1.241516,-0.8762655,-1.2785988
