,control0,perturbed0
ELP2,-0.13915437,-0.03933511
DSG1,-0.72115105,-0.63643897
DSC3,0.3185455,0.14572378
DSC1,-0.26977578,-0.24490222
DTNA,-0.3363815,-0.25465664
FHOD3,-0.4527384,-0.4435215
TPGS2,-0.09315054,0.03223723
DAGLA,-0.5214496,-0.59794605
SLC43A3,0.33930537,0.39065588
TIMM10,-0.2517718,-0.23316854
DHX34,-0.25722313,-0.31947443
APLNR,0.13385132,0.14880553
FADS2,-0.22418965,0.010468215
TMEM258,-0.25710997,-0.21658105
TCN1,0.0362676,0.030261222
C5AR2,-0.034601435,0.07205102
TMEM165,-0.030946469,0.112196155
CLOCK,0.055790972,0.05716675
PDGFRA,0.6985543,0.65729684
GGACT,0.090967685,0.21882555
COL4A2,-0.24086183,-0.24731918
CLDN10,0.33534876,0.47510022
DZIP1,0.25997376,0.21832517
UBAC2,-0.08259918,0.0093523115
ARGLU1,-0.06836679,0.09073419
BIVM,0.15668638,0.24075651
ERCC5,-0.09639461,-0.004737787
TPP2,0.049640384,0.1462328
CARS2,-0.1344875,-0.12610304
ARHGAP32,-0.2082849,-0.20896931
STT3A,0.02950336,0.21136391
ADAMTS8,2.300182,2.3191051
ACRV1,-0.0006783583,0.019930733
ETS1,-0.10832191,-0.105548166
SLC37A2,0.2252019,0.15831426
KLB,-0.02994649,0.06603686
TMED7,0.21758696,0.37389374
APC,0.07047397,0.040301234
NREP,0.40082335,0.48480126
WDR36,-0.0031590874,0.016946467
OSTF1,-0.04017507,0.046077017
RFK,-0.1607286,-0.073340975
UBQLN1,-0.09846616,-0.006940596
NAA35,-0.13461073,-0.07102905
C9orf40,-0.14802894,-0.17030057
ANXA1,0.44678265,0.4730803
CTSL,-0.024353256,0.04223045
AGTPBP1,0.07672994,0.08948417
GOLM1,-0.080490954,-0.034155585
PSAT1,0.2493831,0.32610375
ISCA1,-0.13457078,-0.028608993
ADAM19,-0.50170666,-0.6209008
HAVCR2,0.33196872,0.3029361
CCNJL,-0.21296857,-0.09349893
TAOK3,0.06300962,0.123061016
USP30,-0.14566495,-0.08354159
SDS,0.76174647,0.6392173
MSI1,-0.060969155,-0.16233069
HNF1A,-0.18097727,-0.24172726
FBXO21,-0.2548949,-0.23247814
TBX3,-0.39881983,-0.31739616
OASL,-1.1914223,-1.0907265
HRK,-0.051517595,-0.076174214
RNFT2,-0.14599949,-0.2014393
P2RX4,-0.37534305,-0.2746906
BICDL1,-0.39765236,-0.3957735
DTX1,-0.15787731,-0.19018286
TRAFD1,0.05068013,0.13417044
DMTF1,-0.036798608,0.117269784
OCM2,-0.001846407,0.0006729028
TMEM243,0.2050388,0.33173984
CCDC146,-0.09330397,-0.067736246
TMEM60,-0.07401916,-0.0005550906
CD36,1.3545054,1.3236516
UGT2B28,-0.01376912,0.00608813
PNPLA8,-0.020863183,0.10723408
HILPDA,-0.19265264,-0.12991673
RINT1,-0.0036780466,0.09564245
SRPK2,-0.01685085,0.033965454
KCP,-0.09592182,-0.12292613
TES,-0.36145964,-0.3092595
MDFIC,0.10785271,0.18661234
MTO1,-0.082646,-0.036769502
ADGRB3,0.09980447,0.2309367
ANKRD6,-0.13652438,-0.106475435
HTR1B,-0.019576985,0.00057391264
KHDC1,0.018832734,0.10186154
CEP162,0.11263466,0.1650697
SYNCRIP,-0.07916558,-0.021251287
SNX14,-0.10903935,0.042873546
NT5E,-0.17208685,-0.08445151
MRAP2,-0.16788796,-0.08774623
EPHA7,0.05173217,0.14451638
AKIRIN2,-0.16963771,-0.17545094
ORC3,0.25099763,0.38918382
LCA5,0.18829414,0.1727659
MAP3K7,0.0137051465,0.111858904
CGA,-0.03637097,0.0033983178
PRR5L,-0.25570264,-0.20822692
LMO2,0.19801427,0.2337079
PHF21A,0.110153794,0.087412044
NAT10,-0.24810842,-0.25879794
EHF,0.10811975,0.2080695
ELF5,0.011345872,0.05209859
PRRG4,0.19367377,0.20770517
CAPRIN1,-0.06055355,0.0804411
DNAJC14,-0.14713706,-0.093710095
CD63,-0.24630313,-0.21453501
PRPH,-0.019144654,-0.008923944
AVIL,-0.0072646956,0.021519205
AMHR2,0.009298722,0.06414351
LACRT,0.0,-0.005200638
GDF11,0.13845831,0.119761735
GLS2,0.15955636,0.282071
ITGA7,-1.2281828,-1.1762565
TESPA1,-0.092199,0.06125042
FAM186B,-0.122812144,-0.08822896
RDH5,-0.40121627,-0.29153386
AGAP2,0.08467398,0.107558414
BLOC1S1,-0.20631619,-0.13869369
KRT85,-0.03427065,-0.026045494
CDK4,-0.15564059,-0.091953546
PPP1R1A,0.8912066,0.92757964
TROAP,-0.4131792,-0.4184226
TSPAN31,-0.09619521,0.051618464
