"",p1,p2,p3,p4,p5,p6,p7,p8
OSBPL7,0.0103271038571297,-0.0122376559369838,0.00688604390655326,-0.00538584398879399,0.00169321346089284,0.00429575091845151,-0.00481669229893483,-0.00444141537924461
TMEM98,0.0122321955245936,0.00928262999280114,0.00747212315102137,0.00533005831906068,0.0185490317699493,0.0166207646321805,0.027320679936939,0.00149156538664294
ABCC8,0.00129369002270614,-0.00372901779479159,-0.0010081749817438,-0.00147966767960667,-0.00575152684678067,-0.000890704721406432,0.00733886895432572,-0.00845188010691688
CACNG3,1.85156186284102e-05,-0.00013917589883736,2.33655541606592e-05,-2.12758362574577e-05,-5.69844597416666e-05,-0.000160292340807309,-0.000169206927465638,5.05217142213343e-05
TMEM132A,0.00860100818891704,-0.00625927116642645,0.00326445832647624,-0.0060828624794836,-0.00434638068627908,0.00380758401176331,-0.00200239986483881,3.62175067068897e-05
AP2B1,0.00692472198504174,-0.00251169145402749,-0.00632093656656095,0.0024637794821955,-0.0103712089013801,0.00198848598808897,0.00628173512804645,-0.00355424070886066
TAC1,-0.00110120583263513,-0.00190412716289224,-0.00107933580081934,-0.000815445019488683,-0.000414370136369928,-0.000448626682623994,-0.00137561250207094,-0.00153718924177473
ZNF263,0.00509987493084575,-0.00411891409170026,0.00600073392032839,0.00106638706605223,0.00447988354599951,-0.00679448948489347,0.00498147332579126,-0.00149254614034867
CX3CL1,0.00312255106120512,-0.00853570773221622,0.00654410939934598,0.00128912294750045,-0.00694148868689899,-0.000799106752121967,0.011358847912953,-0.0199413733126362
SPATA20,0.00919495025111305,0.00536425981033904,0.00884284600220767,0.00716373134841091,-0.00898679208011346,-0.00548491427890913,-0.00246067787545063,-0.0051049583900696
CACNA1G,4.8891463673718e-05,-0.000633295656450339,0.000154418163580342,-0.0007663427680913,0.000190194217812856,0.00044809565545285,-0.000101442903233607,-0.00101169172016495
TNFRSF12A,0.0486091185004353,0.0183693494913286,0.0153798257726812,-0.00170341438934157,0.00997168578796309,-0.00371643394147578,-0.00871843020843878,0.0107984062479171
DLX6,0.000137282367465079,-0.000158289550836175,0.000105107654389109,-0.00016370876669584,0.000475068605829785,9.94113233729196e-05,-0.000288987082607851,-4.09224876543959e-05
MAP3K9,0.00910532297731255,0.000373106520120179,2.00848840932826e-05,0.00235132181800348,-0.00607633491314082,-0.00452462625369265,0.0154263128981053,-0.00161912051499905
RALA,0.00681658543348261,-0.00258780420274881,-0.00938698537276276,0.00401816109088885,0.00313103749006733,-0.00883412448742159,-0.00635804362682079,-0.000497649924055593
BAIAP2L1,0.00982015810992706,-0.00429474241604403,0.00179170974781511,-0.000151321577283568,-0.00405758254404477,0.00177682797794815,-0.011098236132004,0.00108180289336641
KDM7A,-0.00101744562185384,-0.00716865989109532,-0.0120599461351304,-0.0106426159656206,-0.00374141725439862,-0.000250803782726041,0.00964189834725845,-0.00311019331460881
ETV1,0.00479529266927425,-0.00121197438483154,-0.00838259509540453,0.000567156171455906,0.0154967456187707,0.00433469604818098,0.0141218696351663,-0.00434978707927454
ALDH3B1,0.00983793572449403,-0.00688150804609298,0.00328508354390845,0.0087892670305947,0.00448410793637597,0.00782775173616444,-0.00108531255443668,0.00496192807288579
TTC22,0.0121585234636595,0.00184628242470001,0.0101410524050866,0.00496722683607128,0.00988335081202991,0.00107621578208928,0.00820142523148996,-0.00613712391915877
PHTF2,0.00224623640453017,-0.00470499846832194,-0.0206089371419269,-0.00307985293538431,0.013544044645929,0.00190371525113032,-0.00520652886782024,0.00468627436590729
CCL26,0.000146106914143326,-0.00131777163071401,-0.000308830503409258,-0.000431733318823187,-0.000179167081245012,0.000189449635790731,-0.000858039939260131,-0.000487718126241108
FARP2,0.00420589381511732,-0.00674665339347246,-0.000690526124014446,0.00257839743546738,-0.00220477346883949,0.00309844170118927,0.00462847704276652,-0.00249254667690946
USH1C,0.0122487674380683,-0.0028848944217971,0.00586146976678275,-0.0121658710870563,0.00151418295749317,0.00452038168245514,0.00790507582680459,-0.0108710588573988
GGCT,0.00662213416077205,0.00170329374374124,-0.000889018665316416,-0.00404455568273424,0.00383016650922062,-0.0130719946955998,-0.00491091203392916,0.00547242185885995
DBF4,0.00807952782177732,0.00361557800199878,-0.00601302968738306,0.00179044364979418,0.0119772567241879,-0.00815561611642,-0.00587560537424245,0.00102975679340987
TBXA2R,0.000984478943149988,-0.0155161106873992,0.00688540722488462,0.00945429407222124,0.00723411672791691,0.00304100540638027,-0.0104151902720378,-0.00445921657546907
IFRD1,0.00504810441105452,-0.00158170653663861,-0.001254483448224,-0.0157523613064897,0.0131785842360086,-0.0228400812198622,-0.00162509327126336,-0.0114751431988283
LGALS14,7.84464209842631e-05,-0.000182759288707603,9.25249450099293e-06,0.000113528937831605,0.000229662413182311,-8.89606564506032e-05,0.000227131428964494,-0.000592476563673243
COX10,0.00409026241975297,-0.00221437515800561,-0.00252904356333567,0.00169219289068439,-0.00420170516250876,-0.00277112466161536,0.00516017643524539,0.00175984547290771
GTF2IRD1,-0.000903759864633124,-0.00590980413324325,0.00488560237541269,0.00171322320141404,-0.00300329851426565,-0.0017964029465432,0.000986285042903619,-0.00875469321628051
PAF1,0.0043006703882975,-0.00466530097693858,0.00580546796270838,0.00705481262154785,-0.00503055472468003,-0.00834796191691302,0.00806725046691611,-0.00074607215812576
VPS41,0.0131224974870831,0.005908952364561,-0.00795744518009513,-0.00338805671301555,-0.00514787214689622,0.0040752637216951,0.0064857744586972,0.000910466675587369
ARHGAP44,-0.00124378434943305,-0.0141842945638692,-0.000113505514207738,-0.00804064981489313,-0.00581805597173276,-0.00508040599587785,0.00399928048098392,-0.0131826828086774
ELAC2,0.00977588937813027,-0.00018976142307937,0.000265075108070783,0.00625969893299459,-0.0107809369202622,-0.00479214193865485,-0.000918377582769931,0.00059576891776506
SCIN,0.0043484076801852,-0.00363074181136983,-3.73024256352204e-05,0.000547696374417366,0.00696483188372474,0.00154524811532408,0.00352874566423513,-0.00107338940985008
ARSD,0.000827466250069619,-0.0118725719135276,-0.00107135258012369,0.00690611887999939,0.0067492963829984,0.00219950771576516,0.00204394496684404,0.00175857690707064
PNPLA4,-0.0016426595542139,-0.0132612259364006,-0.00670197188089647,0.0100310726571895,0.00404501153027919,-0.000729194471017963,0.000390488020652948,0.014824088042968
MYH13,-0.000287424722441681,-0.00036584969692337,-0.000178981481810495,-0.000337256902777034,-0.000221953831024378,-0.000233517636251884,-0.000487751051140155,-7.99953701800654e-06
CDKL3,0.00316429243319057,-0.000298134509833577,0.00111020072565399,-0.00303216050682533,0.00515060135513076,-0.00193948363061683,0.0033556099486752,0.00672962208364103
UPP2,0.017851972676058,-0.00577879429487285,-0.0062298946554805,-0.0155630435799286,0.0166774082432279,0.0115378580646069,-0.0532220701272898,0.0350838622042265
MARK4,0.00183520286579662,-0.0114449008687224,0.0062795034671865,0.018398168282093,-0.0018161463149743,-0.00223109459423526,-0.00323455836872247,-0.00754926612873357
PROM1,0.0123742841814452,-0.0122628844137438,-0.00574353283114107,-0.0228881793330101,-0.00705307020893735,0.00160327964707292,0.0118395616458066,-0.00886151857943128
CCDC124,0.00348792456201413,-0.00529349981469146,0.0121266788466229,0.0128987672641355,-0.0058047374563539,-0.00137119326054021,0.000408694118044674,0.00170385944230604
