"",V1,V2
ZNF207,-0.00137693277272679,-0.00138715670128672
UQCRC1,-0.00511991826001379,0.00225919104996179
STARD3NL,-0.00725262706866172,0.00262295069518709
CD9,0.00776989756609785,0.0111210490870841
HHATL,0.00409042195817418,-0.00131358738321369
NCAPD2,0.00327075634181681,0.00259842256264297
IFFO1,0.000899002390654952,-0.00177627487181752
GIPR,0.000748924224056484,-0.000873547403773983
PHF7,0.00991884124614423,0.0058823444419888
SEMA3G,-0.00501912130414783,0.0497688296754317
NISCH,-0.00314746033565978,-0.00282917406121298
STAB1,-0.00558524296414885,-0.011960108655475
FUZ,-0.00381088188126513,-0.00203032285412647
SLC6A13,-0.0115747280431341,0.00367464403381999
IDS,0.00277947568274017,0.00590144807383109
PRSS3,0.00487311293779041,0.00636663917642224
ZNF200,-0.0167935537541683,-0.00374950932543445
CD4,-0.00418853147079124,-0.0173446756035518
LRRC23,-0.0107198598055765,-0.00210026776310458
BTK,-0.00555514910396848,0.00507756351602623
HFE,-0.00252232550001255,0.00175040346128825
SCMH1,-0.00153744882493022,-0.00284377998438894
FYN,-0.00565556667516921,-0.00582579344091171
HIVEP2,-0.00582616763186422,-0.00208996837187135
FMO1,0.00513731570380866,-0.0138363503025383
LYPLA2,-0.0037547266909263,0.0043977481647941
CLCN6,-0.0101129498601403,0.00303186213040279
MRC2,0.0144651549204395,-0.00544475358451399
NME1-NME2,0.00641426106591991,-0.00115243912975022
SLC6A7,0.00209659152719236,-0.000219815466665153
TSPAN9,-0.00164174139016716,-0.00301509158614616
APBA3,-0.00322298271953515,-0.00210667797609464
MKS1,-0.00162176647005269,0.00624526028074435
ABHD5,-0.00819842501367894,0.00213473829354023
ANOS1,0.000780058376572529,0.0103579566285839
AKAP8L,0.00520448502283379,0.00349353963830308
MBTD1,-0.00404559375781333,-0.00261798853981726
UTP18,-0.00523522383983488,-0.00203843942861776
RNF216,-0.00607932266379014,-1.07909155261881e-05
TTC19,5.85280457868656e-05,0.00465362439943374
PTBP1,-0.00465592239671351,-0.0046095466328815
DPF1,-0.00349580849945453,-0.00144001074944674
SYT7,-0.00207866961980884,0.000247685703522618
LARS2,-0.00217366952961009,0.00177112335375553
PIK3C2A,-0.00255909844313643,0.00889176683159271
PLAUR,0.00486120767482209,-0.0157990300269887
ANLN,0.00693598449489585,-0.00668589262854505
WIZ,-0.00566330338198973,-0.00123651642170275
RABGAP1,-0.00130877032539039,0.00533935367002942
DCN,0.019115727934821,-0.00123678418948796
QPCTL,-0.00971846514683942,0.00732972753517625
